,Region,Asalariados,Percepciones por persona,Salarios,Salario Medio Anual,year,smi
0,Total,19310627,1.34,366818775121,18996,2008,Total
1,Andalucía,3459137,1.41,53933824506,15592,2008,Total
2,Aragón,624119,1.35,12388667131,19850,2008,Total
3,Principado de Asturias,439553,1.32,8663847179,19711,2008,Total
4,Illes Balears,496056,1.32,8917118969,17976,2008,Total
5,Canarias,905009,1.3,14737043721,16284,2008,Total
6,Cantabria,253486,1.27,4931247527,19454,2008,Total
7,Castilla - La Mancha,874015,1.33,14811747351,16947,2008,Total
8,Castilla y León,1075255,1.32,20005547649,18605,2008,Total
9,Cataluña,3523400,1.33,74613923773,21177,2008,Total
10,Extremadura,448919,1.4,6572142031,14640,2008,Total
11,Galicia,1134854,1.28,20128165473,17736,2008,Total
12,Comunidad de Madrid,3088206,1.33,75274297684,24375,2008,Total
13,Región de Murcia,635338,1.41,10301980653,16215,2008,Total
14,La Rioja,143979,1.34,2727773126,18946,2008,Total
15,Comunidad Valenciana,2150632,1.32,37572124779,17470,2008,Total
16,Ciudad de Ceuta,31215,1.3,665344681,21315,2008,Total
17,Ciudad de Melilla,27454,1.36,573978891,20907,2008,Total
18,Total,3089856,1.41,5632251283,1823,2008,0-0.5
19,Andalucía,820605,1.54,1417739097,1728,2008,0-0.5
20,Aragón,82208,1.37,151724929,1846,2008,0-0.5
21,Principado de Asturias,60662,1.33,107905068,1779,2008,0-0.5
22,Illes Balears,65917,1.31,127317421,1931,2008,0-0.5
23,Canarias,150757,1.32,287782123,1909,2008,0-0.5
24,Cantabria,33278,1.32,61834365,1858,2008,0-0.5
25,Castilla - La Mancha,149280,1.31,261225844,1750,2008,0-0.5
26,Castilla y León,153050,1.35,268586575,1755,2008,0-0.5
27,Cataluña,479975,1.34,922094135,1921,2008,0-0.5
28,Extremadura,104532,1.52,187022443,1789,2008,0-0.5
29,Galicia,152228,1.32,281754289,1851,2008,0-0.5
30,Comunidad de Madrid,351022,1.39,650646662,1854,2008,0-0.5
31,Región de Murcia,111866,1.44,205859454,1840,2008,0-0.5
32,La Rioja,19870,1.42,33886649,1705,2008,0-0.5
33,Comunidad Valenciana,344923,1.36,649348763,1883,2008,0-0.5
34,Ciudad de Ceuta,5180,1.28,10543133,2035,2008,0-0.5
35,Ciudad de Melilla,4504,1.23,6980333,1550,2008,0-0.5
36,Total,2283675,1.64,14419677976,6314,2008,0.5-1
37,Andalucía,473452,1.72,2966665635,6266,2008,0.5-1
38,Aragón,66778,1.66,421520258,6312,2008,0.5-1
39,Principado de Asturias,48001,1.55,303959655,6332,2008,0.5-1
40,Illes Balears,66271,1.52,427623178,6453,2008,0.5-1
41,Canarias,133334,1.53,839180832,6294,2008,0.5-1
42,Cantabria,27246,1.55,172779040,6341,2008,0.5-1
43,Castilla - La Mancha,100112,1.61,633991771,6333,2008,0.5-1
44,Castilla y León,115111,1.61,725096578,6299,2008,0.5-1
45,Cataluña,368422,1.63,2330104632,6325,2008,0.5-1
46,Extremadura,62897,1.75,392761937,6245,2008,0.5-1
47,Galicia,131332,1.52,836217288,6367,2008,0.5-1
48,Comunidad de Madrid,292969,1.64,1858389041,6343,2008,0.5-1
49,Región de Murcia,92677,1.78,584752245,6310,2008,0.5-1
50,La Rioja,14462,1.72,92385281,6388,2008,0.5-1
51,Comunidad Valenciana,283282,1.59,1790302268,6320,2008,0.5-1
52,Ciudad de Ceuta,3712,1.55,22479764,6056,2008,0.5-1
53,Ciudad de Melilla,3617,1.36,21468574,5935,2008,0.5-1
54,Total,2480921,1.52,26241080363,10577,2008,1-1.5
55,Andalucía,451544,1.54,4758546522,10538,2008,1-1.5
56,Aragón,70960,1.6,750153184,10571,2008,1-1.5
57,Principado de Asturias,52802,1.48,560476283,10615,2008,1-1.5
58,Illes Balears,78740,1.47,822020631,10440,2008,1-1.5
59,Canarias,153222,1.42,1621954205,10586,2008,1-1.5
60,Cantabria,31894,1.44,337293733,10576,2008,1-1.5
61,Castilla - La Mancha,114706,1.53,1217937768,10618,2008,1-1.5
62,Castilla y León,134587,1.51,1431480555,10636,2008,1-1.5
63,Cataluña,399304,1.55,4218936289,10566,2008,1-1.5
64,Extremadura,63080,1.52,670573172,10630,2008,1-1.5
65,Galicia,167344,1.4,1782347492,10651,2008,1-1.5
66,Comunidad de Madrid,352666,1.55,3735715161,10593,2008,1-1.5
67,Región de Murcia,97234,1.6,1028143286,10574,2008,1-1.5
68,La Rioja,16383,1.63,173200440,10572,2008,1-1.5
69,Comunidad Valenciana,291532,1.5,3080652492,10567,2008,1-1.5
70,Ciudad de Ceuta,2604,1.61,27399653,10522,2008,1-1.5
71,Ciudad de Melilla,2319,1.48,24249499,10457,2008,1-1.5
72,Total,2966301,1.32,43661754534,14719,2008,1.5-2
73,Andalucía,493605,1.33,7268797411,14726,2008,1.5-2
74,Aragón,90521,1.38,1336146795,14761,2008,1.5-2
75,Principado de Asturias,60870,1.34,892737587,14666,2008,1.5-2
76,Illes Balears,87422,1.32,1286057925,14711,2008,1.5-2
77,Canarias,153462,1.25,2240027211,14597,2008,1.5-2
78,Cantabria,40547,1.27,597420458,14734,2008,1.5-2
79,Castilla - La Mancha,165312,1.31,2434332940,14726,2008,1.5-2
80,Castilla y León,185783,1.3,2739112914,14744,2008,1.5-2
81,Cataluña,457364,1.37,6743104540,14743,2008,1.5-2
82,Extremadura,78494,1.28,1147668678,14621,2008,1.5-2
83,Galicia,221650,1.24,3266533428,14737,2008,1.5-2
84,Comunidad de Madrid,430393,1.37,6323207897,14692,2008,1.5-2
85,Región de Murcia,106277,1.35,1567226129,14747,2008,1.5-2
86,La Rioja,23175,1.37,343197605,14809,2008,1.5-2
87,Comunidad Valenciana,365803,1.29,5392709522,14742,2008,1.5-2
88,Ciudad de Ceuta,3116,1.36,46400671,14889,2008,1.5-2
89,Ciudad de Melilla,2505,1.35,37072823,14800,2008,1.5-2
90,Total,2280782,1.24,42758210474,18747,2008,2-2.5
91,Andalucía,355716,1.22,6648825416,18691,2008,2-2.5
92,Aragón,82791,1.26,1559856834,18841,2008,2-2.5
93,Principado de Asturias,57656,1.33,1082582055,18777,2008,2-2.5
94,Illes Balears,60236,1.24,1129268157,18747,2008,2-2.5
95,Canarias,91076,1.17,1704072527,18711,2008,2-2.5
96,Cantabria,33229,1.19,622083680,18721,2008,2-2.5
97,Castilla - La Mancha,105516,1.24,1975216978,18720,2008,2-2.5
98,Castilla y León,139279,1.23,2609918212,18739,2008,2-2.5
99,Cataluña,453615,1.25,8535083537,18816,2008,2-2.5
100,Extremadura,42913,1.21,803692573,18728,2008,2-2.5
101,Galicia,146661,1.19,2739370389,18678,2008,2-2.5
102,Comunidad de Madrid,360048,1.27,6760718752,18777,2008,2-2.5
103,Región de Murcia,70064,1.24,1307797189,18666,2008,2-2.5
104,La Rioja,22203,1.22,415895828,18732,2008,2-2.5
105,Comunidad Valenciana,253564,1.21,4745089847,18714,2008,2-2.5
106,Ciudad de Ceuta,3120,1.22,59653742,19122,2008,2-2.5
107,Ciudad de Melilla,3093,1.52,59084759,19103,2008,2-2.5
108,Total,1548230,1.2,35535719946,22952,2008,2.5-3
109,Andalucía,216943,1.2,4976382385,22939,2008,2.5-3
110,Aragón,62995,1.21,1445970045,22954,2008,2.5-3
111,Principado de Asturias,40746,1.27,935483004,22959,2008,2.5-3
112,Illes Balears,37110,1.21,851110407,22935,2008,2.5-3
113,Canarias,59538,1.15,1366345472,22949,2008,2.5-3
114,Cantabria,22638,1.16,519248878,22937,2008,2.5-3
115,Castilla - La Mancha,66876,1.21,1533112985,22925,2008,2.5-3
116,Castilla y León,89540,1.2,2054324308,22943,2008,2.5-3
117,Cataluña,345050,1.2,7925797743,22970,2008,2.5-3
118,Extremadura,25904,1.19,594669228,22957,2008,2.5-3
119,Galicia,84978,1.18,1947246340,22915,2008,2.5-3
120,Comunidad de Madrid,267641,1.22,6155391580,22999,2008,2.5-3
121,Región de Murcia,42601,1.19,976640754,22925,2008,2.5-3
122,La Rioja,14057,1.17,321838320,22895,2008,2.5-3
123,Comunidad Valenciana,166340,1.17,3811423884,22913,2008,2.5-3
124,Ciudad de Ceuta,2947,1.21,67684646,22967,2008,2.5-3
125,Ciudad de Melilla,2327,1.59,53049964,22798,2008,2.5-3
126,Total,1121996,1.18,30569519291,27246,2008,3-3.5
127,Andalucía,160003,1.17,4360552712,27253,2008,3-3.5
128,Aragón,43992,1.18,1197725985,27226,2008,3-3.5
129,Principado de Asturias,30104,1.22,819703359,27229,2008,3-3.5
130,Illes Balears,23855,1.19,649423864,27223,2008,3-3.5
131,Canarias,38271,1.13,1040587080,27190,2008,3-3.5
132,Cantabria,16310,1.13,444600607,27259,2008,3-3.5
133,Castilla - La Mancha,46582,1.18,1270010668,27264,2008,3-3.5
134,Castilla y León,65737,1.17,1791508738,27253,2008,3-3.5
135,Cataluña,249231,1.18,6788595100,27238,2008,3-3.5
136,Extremadura,18703,1.16,508487050,27187,2008,3-3.5
137,Galicia,60406,1.17,1646044300,27250,2008,3-3.5
138,Comunidad de Madrid,213790,1.19,5829832859,27269,2008,3-3.5
139,Región de Murcia,27253,1.18,741102190,27193,2008,3-3.5
140,La Rioja,9021,1.14,245065087,27166,2008,3-3.5
141,Comunidad Valenciana,115177,1.16,3139265407,27256,2008,3-3.5
142,Ciudad de Ceuta,1964,1.17,53492328,27236,2008,3-3.5
143,Ciudad de Melilla,1595,1.27,43521960,27286,2008,3-3.5
144,Total,879029,1.16,27622563464,31424,2008,3.5-4
145,Andalucía,130158,1.15,4088252054,31410,2008,3.5-4
146,Aragón,33738,1.17,1060149296,31423,2008,3.5-4
147,Principado de Asturias,23109,1.18,726120844,31422,2008,3.5-4
148,Illes Balears,18992,1.18,596818612,31425,2008,3.5-4
149,Canarias,32372,1.13,1018730306,31469,2008,3.5-4
150,Cantabria,12349,1.13,387903789,31412,2008,3.5-4
151,Castilla - La Mancha,36057,1.17,1133053680,31424,2008,3.5-4
152,Castilla y León,52162,1.16,1638148759,31405,2008,3.5-4
153,Cataluña,185834,1.16,5840676037,31430,2008,3.5-4
154,Extremadura,14594,1.15,457937513,31378,2008,3.5-4
155,Galicia,44760,1.16,1406299227,31419,2008,3.5-4
156,Comunidad de Madrid,173320,1.17,5445720393,31420,2008,3.5-4
157,Región de Murcia,23194,1.16,728152786,31394,2008,3.5-4
158,La Rioja,6576,1.14,206259336,31365,2008,3.5-4
159,Comunidad Valenciana,88772,1.15,2792715816,31459,2008,3.5-4
160,Ciudad de Ceuta,1709,1.17,53774025,31465,2008,3.5-4
161,Ciudad de Melilla,1334,1.31,41850991,31373,2008,3.5-4
162,Total,688629,1.15,24527858107,35618,2008,4-4.5
163,Andalucía,99176,1.14,3529867953,35592,2008,4-4.5
164,Aragón,24766,1.15,882037572,35615,2008,4-4.5
165,Principado de Asturias,17089,1.15,609296575,35654,2008,4-4.5
166,Illes Balears,15132,1.17,538482277,35585,2008,4-4.5
167,Canarias,28616,1.12,1017846864,35570,2008,4-4.5
168,Cantabria,9816,1.12,350391753,35697,2008,4-4.5
169,Castilla - La Mancha,26386,1.16,939506297,35606,2008,4-4.5
170,Castilla y León,40136,1.14,1429943387,35627,2008,4-4.5
171,Cataluña,148480,1.15,5284283181,35589,2008,4-4.5
172,Extremadura,11136,1.15,396803900,35634,2008,4-4.5
173,Galicia,36111,1.14,1286290613,35621,2008,4-4.5
174,Comunidad de Madrid,137005,1.16,4885660837,35661,2008,4-4.5
175,Región de Murcia,17332,1.16,617227646,35612,2008,4-4.5
176,La Rioja,4915,1.13,175216185,35649,2008,4-4.5
177,Comunidad Valenciana,69067,1.14,2461065936,35633,2008,4-4.5
178,Ciudad de Ceuta,1805,1.14,64543683,35758,2008,4-4.5
179,Ciudad de Melilla,1662,1.22,59393447,35736,2008,4-4.5
180,Total,521157,1.15,20717536603,39753,2008,4.5-5
181,Andalucía,77154,1.13,3068000022,39765,2008,4.5-5
182,Aragón,18517,1.15,736792420,39789,2008,4.5-5
183,Principado de Asturias,14611,1.13,581462953,39796,2008,4.5-5
184,Illes Balears,11125,1.17,442336967,39762,2008,4.5-5
185,Canarias,17723,1.14,703680834,39704,2008,4.5-5
186,Cantabria,8045,1.11,319511261,39716,2008,4.5-5
187,Castilla - La Mancha,18930,1.16,752106497,39731,2008,4.5-5
188,Castilla y León,30651,1.14,1215790030,39666,2008,4.5-5
189,Cataluña,110346,1.15,4392613234,39808,2008,4.5-5
190,Extremadura,8727,1.14,346344722,39685,2008,4.5-5
191,Galicia,26756,1.15,1060098834,39621,2008,4.5-5
192,Comunidad de Madrid,109024,1.15,4336336893,39774,2008,4.5-5
193,Región de Murcia,14447,1.15,574889669,39793,2008,4.5-5
194,La Rioja,4024,1.11,160531297,39893,2008,4.5-5
195,Comunidad Valenciana,48213,1.15,1913244563,39683,2008,4.5-5
196,Ciudad de Ceuta,1475,1.13,58512898,39670,2008,4.5-5
197,Ciudad de Melilla,1388,1.26,55283510,39830,2008,4.5-5
198,Total,979428,1.17,48938227358,49966,2008,5-7.5
199,Andalucía,131591,1.17,6516504213,49521,2008,5-7.5
200,Aragón,33175,1.19,1658208112,49984,2008,5-7.5
201,Principado de Asturias,24500,1.16,1216110723,49637,2008,5-7.5
202,Illes Balears,21480,1.2,1070001863,49815,2008,5-7.5
203,Canarias,32969,1.15,1643864871,49860,2008,5-7.5
204,Cantabria,12651,1.14,631851283,49945,2008,5-7.5
205,Castilla - La Mancha,32275,1.19,1600407345,49586,2008,5-7.5
206,Castilla y León,50856,1.18,2533346471,49814,2008,5-7.5
207,Cataluña,213501,1.17,10667684444,49966,2008,5-7.5
208,Extremadura,12643,1.18,626192196,49529,2008,5-7.5
209,Galicia,44097,1.2,2197672106,49837,2008,5-7.5
210,Comunidad de Madrid,248761,1.16,12550714211,50453,2008,5-7.5
211,Región de Murcia,23332,1.19,1154565528,49484,2008,5-7.5
212,La Rioja,6671,1.13,330569739,49555,2008,5-7.5
213,Comunidad Valenciana,85601,1.18,4278138809,49978,2008,5-7.5
214,Ciudad de Ceuta,2833,1.22,140044884,49433,2008,5-7.5
215,Ciudad de Melilla,2492,1.36,122350562,49097,2008,5-7.5
216,Total,276814,1.2,19841701666,71679,2008,7.5-10
217,Andalucía,32862,1.19,2351279662,71551,2008,7.5-10
218,Aragón,9149,1.2,654026979,71486,2008,7.5-10
219,Principado de Asturias,6419,1.16,458368922,71408,2008,7.5-10
220,Illes Balears,5783,1.22,414771181,71726,2008,7.5-10
221,Canarias,8906,1.2,634504708,71242,2008,7.5-10
222,Cantabria,3657,1.19,261195179,71424,2008,7.5-10
223,Castilla - La Mancha,7403,1.21,530663468,71682,2008,7.5-10
224,Castilla y León,12829,1.24,916944140,71474,2008,7.5-10
225,Cataluña,63219,1.21,4543519332,71870,2008,7.5-10
226,Extremadura,3506,1.19,252328774,71971,2008,7.5-10
227,Galicia,12103,1.21,866192121,71566,2008,7.5-10
228,Comunidad de Madrid,78243,1.18,5615148897,71765,2008,7.5-10
229,Región de Murcia,5693,1.23,407279642,71540,2008,7.5-10
230,La Rioja,1751,1.16,125042563,71431,2008,7.5-10
231,Comunidad Valenciana,24297,1.21,1740242283,71625,2008,7.5-10
232,Ciudad de Ceuta,528,1.24,37391868,70818,2008,7.5-10
233,Ciudad de Melilla,466,1.32,32801947,70390,2008,7.5-10
234,Total,193811,1.24,26352674056,135971,2008,>10
235,Andalucía,16329,1.24,1982411423,121402,2008,>10
236,Aragón,4529,1.27,534354722,117985,2008,>10
237,Principado de Asturias,2985,1.23,369640151,123833,2008,>10
238,Illes Balears,3994,1.25,561886487,140683,2008,>10
239,Canarias,4762,1.24,618466689,129864,2008,>10
240,Cantabria,1826,1.23,225133501,123293,2008,>10
241,Castilla - La Mancha,4581,1.24,530181109,115735,2008,>10
242,Castilla y León,5535,1.3,651346983,117679,2008,>10
243,Cataluña,49058,1.27,6421431568,130896,2008,>10
244,Extremadura,1789,1.21,187659845,104897,2008,>10
245,Galicia,6428,1.28,812099046,126346,2008,>10
246,Comunidad de Madrid,73323,1.18,11126814501,151751,2008,>10
247,Región de Murcia,3366,1.32,408344136,121314,2008,>10
248,La Rioja,872,1.24,104684797,120085,2008,>10
249,Comunidad Valenciana,14060,1.3,1777925189,126453,2008,>10
250,Ciudad de Ceuta,222,1.33,23423387,105511,2008,>10
251,Ciudad de Melilla,152,1.28,16870522,110990,2008,>10
252,Total,18451827,1.26,352145124910,19085,2009,Total
253,Andalucía,3319251,1.34,51667194109,15566,2009,Total
254,Aragón,595187,1.25,11728821864,19706,2009,Total
255,Principado de Asturias,425271,1.27,8430503448,19824,2009,Total
256,Illes Balears,471720,1.23,8558813184,18144,2009,Total
257,Canarias,842940,1.22,14002160646,16611,2009,Total
258,Cantabria,244781,1.22,4794820963,19588,2009,Total
259,Castilla - La Mancha,855629,1.28,14484845228,16929,2009,Total
260,Castilla y León,1040507,1.26,19517888217,18758,2009,Total
261,Cataluña,3341731,1.24,71047849861,21261,2009,Total
262,Extremadura,437771,1.34,6464533591,14767,2009,Total
263,Galicia,1092431,1.24,19900304257,18217,2009,Total
264,Comunidad de Madrid,2968360,1.23,72969784799,24583,2009,Total
265,Región de Murcia,600637,1.32,9779056984,16281,2009,Total
266,La Rioja,138263,1.25,2602163334,18820,2009,Total
267,Comunidad Valenciana,2018551,1.24,34927017625,17303,2009,Total
268,Ciudad de Ceuta,31193,1.24,679219438,21775,2009,Total
269,Ciudad de Melilla,27604,1.23,590147362,21379,2009,Total
270,Total,3405089,1.36,6371007094,1871,2009,0-0.5
271,Andalucía,911292,1.51,1603238549,1759,2009,0-0.5
272,Aragón,92752,1.33,175923258,1897,2009,0-0.5
273,Principado de Asturias,64600,1.28,120977860,1873,2009,0-0.5
274,Illes Balears,72594,1.25,146842499,2023,2009,0-0.5
275,Canarias,161372,1.25,315394755,1954,2009,0-0.5
276,Cantabria,35785,1.28,70160636,1961,2009,0-0.5
277,Castilla - La Mancha,177306,1.36,323188474,1823,2009,0-0.5
278,Castilla y León,163546,1.31,303440940,1855,2009,0-0.5
279,Cataluña,510059,1.29,997077461,1955,2009,0-0.5
280,Extremadura,112014,1.51,207349313,1851,2009,0-0.5
281,Galicia,158709,1.28,308940001,1947,2009,0-0.5
282,Comunidad de Madrid,378957,1.31,723232768,1908,2009,0-0.5
283,Región de Murcia,128135,1.41,241860902,1888,2009,0-0.5
284,La Rioja,22563,1.37,41247985,1828,2009,0-0.5
285,Comunidad Valenciana,403777,1.29,771325813,1910,2009,0-0.5
286,Ciudad de Ceuta,6142,1.19,11217709,1826,2009,0-0.5
287,Ciudad de Melilla,5485,1.17,9588170,1748,2009,0-0.5
288,Total,2251294,1.49,14684199197,6523,2009,0.5-1
289,Andalucía,454884,1.59,2941310799,6466,2009,0.5-1
290,Aragón,66642,1.48,434776339,6524,2009,0.5-1
291,Principado de Asturias,48423,1.44,316411824,6534,2009,0.5-1
292,Illes Balears,68734,1.36,461521761,6715,2009,0.5-1
293,Canarias,122445,1.41,796284425,6503,2009,0.5-1
294,Cantabria,28434,1.43,186360434,6554,2009,0.5-1
295,Castilla - La Mancha,101499,1.52,663840511,6540,2009,0.5-1
296,Castilla y León,118554,1.48,775085533,6538,2009,0.5-1
297,Cataluña,368321,1.47,2407463922,6536,2009,0.5-1
298,Extremadura,64586,1.61,416408513,6447,2009,0.5-1
299,Galicia,131733,1.42,868998464,6597,2009,0.5-1
300,Comunidad de Madrid,289287,1.47,1895544343,6552,2009,0.5-1
301,Región de Murcia,90519,1.62,588382406,6500,2009,0.5-1
302,La Rioja,14730,1.53,96948435,6582,2009,0.5-1
303,Comunidad Valenciana,276040,1.43,1793941581,6499,2009,0.5-1
304,Ciudad de Ceuta,3359,1.4,21255863,6328,2009,0.5-1
305,Ciudad de Melilla,3104,1.36,19664045,6335,2009,0.5-1
306,Total,2283950,1.35,25106644263,10993,2009,1-1.5
307,Andalucía,403863,1.38,4418890956,10942,2009,1-1.5
308,Aragón,65946,1.38,724571576,10987,2009,1-1.5
309,Principado de Asturias,51098,1.36,563090578,11020,2009,1-1.5
310,Illes Balears,71093,1.31,769516728,10824,2009,1-1.5
311,Canarias,135317,1.28,1488455841,11000,2009,1-1.5
312,Cantabria,31127,1.31,342678087,11009,2009,1-1.5
313,Castilla - La Mancha,106768,1.37,1178817610,11041,2009,1-1.5
314,Castilla y León,131220,1.37,1451095457,11058,2009,1-1.5
315,Cataluña,371018,1.37,4069049611,10967,2009,1-1.5
316,Extremadura,59254,1.35,655664191,11065,2009,1-1.5
317,Galicia,159154,1.3,1759420204,11055,2009,1-1.5
318,Comunidad de Madrid,332930,1.35,3673383837,11034,2009,1-1.5
319,Región de Murcia,87235,1.39,960322510,11008,2009,1-1.5
320,La Rioja,15760,1.36,173400529,11003,2009,1-1.5
321,Comunidad Valenciana,257724,1.32,2829714152,10980,2009,1-1.5
322,Ciudad de Ceuta,2364,1.39,25886694,10950,2009,1-1.5
323,Ciudad de Melilla,2078,1.39,22685703,10917,2009,1-1.5
324,Total,2678098,1.2,40926651473,15282,2009,1.5-2
325,Andalucía,428944,1.21,6557515345,15288,2009,1.5-2
326,Aragón,86672,1.21,1327171394,15313,2009,1.5-2
327,Principado de Asturias,59927,1.24,914791024,15265,2009,1.5-2
328,Illes Balears,77766,1.19,1188912706,15288,2009,1.5-2
329,Canarias,132638,1.17,2016419433,15202,2009,1.5-2
330,Cantabria,38848,1.18,593374776,15274,2009,1.5-2
331,Castilla - La Mancha,147433,1.2,2253080844,15282,2009,1.5-2
332,Castilla y León,174628,1.2,2668290662,15280,2009,1.5-2
333,Cataluña,427183,1.23,6546590989,15325,2009,1.5-2
334,Extremadura,68741,1.18,1037468714,15092,2009,1.5-2
335,Galicia,206880,1.17,3166340921,15305,2009,1.5-2
336,Comunidad de Madrid,401030,1.22,6112804296,15243,2009,1.5-2
337,Región de Murcia,87354,1.21,1339674061,15336,2009,1.5-2
338,La Rioja,22207,1.2,340574249,15336,2009,1.5-2
339,Comunidad Valenciana,312352,1.17,4778929731,15300,2009,1.5-2
340,Ciudad de Ceuta,3001,1.22,46316246,15434,2009,1.5-2
341,Ciudad de Melilla,2495,1.24,38396081,15390,2009,1.5-2
342,Total,2038056,1.16,39756020645,19507,2009,2-2.5
343,Andalucía,298553,1.15,5812050676,19467,2009,2-2.5
344,Aragón,75082,1.16,1470052739,19579,2009,2-2.5
345,Principado de Asturias,53125,1.26,1036036285,19502,2009,2-2.5
346,Illes Balears,52960,1.16,1033880850,19522,2009,2-2.5
347,Canarias,82188,1.13,1600553229,19474,2009,2-2.5
348,Cantabria,29528,1.14,575182218,19479,2009,2-2.5
349,Castilla - La Mancha,95193,1.17,1854429109,19481,2009,2-2.5
350,Castilla y León,127398,1.17,2480956742,19474,2009,2-2.5
351,Cataluña,417911,1.16,8175162639,19562,2009,2-2.5
352,Extremadura,38424,1.16,749806717,19514,2009,2-2.5
353,Galicia,131141,1.15,2549724051,19443,2009,2-2.5
354,Comunidad de Madrid,335777,1.17,6558820001,19533,2009,2-2.5
355,Región de Murcia,59190,1.16,1151459139,19454,2009,2-2.5
356,La Rioja,19806,1.13,386177038,19498,2009,2-2.5
357,Comunidad Valenciana,215797,1.14,4203034816,19477,2009,2-2.5
358,Ciudad de Ceuta,2903,1.18,57543552,19822,2009,2-2.5
359,Ciudad de Melilla,3079,1.19,61150843,19860,2009,2-2.5
360,Total,1429632,1.15,34117876767,23865,2009,2.5-3
361,Andalucía,200773,1.14,4789527148,23855,2009,2.5-3
362,Aragón,58094,1.14,1386127202,23860,2009,2.5-3
363,Principado de Asturias,37027,1.23,884411593,23886,2009,2.5-3
364,Illes Balears,33071,1.16,788423208,23840,2009,2.5-3
365,Canarias,53745,1.11,1283774680,23886,2009,2.5-3
366,Cantabria,20318,1.13,485433151,23892,2009,2.5-3
367,Castilla - La Mancha,61929,1.16,1476227639,23838,2009,2.5-3
368,Castilla y León,82868,1.16,1977046978,23858,2009,2.5-3
369,Cataluña,317950,1.14,7592266872,23879,2009,2.5-3
370,Extremadura,25034,1.16,596914423,23844,2009,2.5-3
371,Galicia,82188,1.15,1959451559,23841,2009,2.5-3
372,Comunidad de Madrid,252651,1.15,6042902225,23918,2009,2.5-3
373,Región de Murcia,38450,1.14,915975862,23823,2009,2.5-3
374,La Rioja,12288,1.12,293063551,23850,2009,2.5-3
375,Comunidad Valenciana,148049,1.13,3522880988,23795,2009,2.5-3
376,Ciudad de Ceuta,2949,1.19,70124268,23779,2009,2.5-3
377,Ciudad de Melilla,2250,1.23,53325419,23700,2009,2.5-3
378,Total,1047968,1.17,29697044937,28338,2009,3-3.5
379,Andalucía,152705,1.18,4329551784,28352,2009,3-3.5
380,Aragón,40198,1.16,1137613498,28300,2009,3-3.5
381,Principado de Asturias,28261,1.23,800452012,28323,2009,3-3.5
382,Illes Balears,22300,1.19,632068392,28344,2009,3-3.5
383,Canarias,36861,1.14,1042198943,28274,2009,3-3.5
384,Cantabria,15082,1.15,427121841,28321,2009,3-3.5
385,Castilla - La Mancha,43003,1.2,1218283487,28330,2009,3-3.5
386,Castilla y León,62429,1.21,1769591795,28346,2009,3-3.5
387,Cataluña,228994,1.14,6488649503,28335,2009,3-3.5
388,Extremadura,18723,1.22,529772674,28295,2009,3-3.5
389,Galicia,57605,1.24,1631198514,28317,2009,3-3.5
390,Comunidad de Madrid,203500,1.15,5771091486,28359,2009,3-3.5
391,Región de Murcia,25982,1.18,734762138,28280,2009,3-3.5
392,La Rioja,8147,1.14,230399795,28280,2009,3-3.5
393,Comunidad Valenciana,100781,1.15,2858144333,28360,2009,3-3.5
394,Ciudad de Ceuta,1840,1.23,52039346,28282,2009,3-3.5
395,Ciudad de Melilla,1557,1.26,44105397,28327,2009,3-3.5
396,Total,831484,1.14,27164269158,32670,2009,3.5-4
397,Andalucía,126759,1.13,4143417774,32687,2009,3.5-4
398,Aragón,30581,1.15,998714884,32658,2009,3.5-4
399,Principado de Asturias,22849,1.16,745534735,32629,2009,3.5-4
400,Illes Balears,18850,1.15,616431054,32701,2009,3.5-4
401,Canarias,31222,1.12,1023008462,32766,2009,3.5-4
402,Cantabria,12038,1.11,392468999,32601,2009,3.5-4
403,Castilla - La Mancha,35268,1.15,1151001834,32636,2009,3.5-4
404,Castilla y León,50271,1.16,1639672548,32617,2009,3.5-4
405,Cataluña,167632,1.13,5479065684,32685,2009,3.5-4
406,Extremadura,14581,1.15,475666537,32623,2009,3.5-4
407,Galicia,42870,1.2,1398604925,32624,2009,3.5-4
408,Comunidad de Madrid,167155,1.13,5460804118,32669,2009,3.5-4
409,Región de Murcia,21413,1.14,699099102,32648,2009,3.5-4
410,La Rioja,6068,1.13,198096424,32646,2009,3.5-4
411,Comunidad Valenciana,80824,1.14,2641529827,32683,2009,3.5-4
412,Ciudad de Ceuta,1699,1.2,55362225,32585,2009,3.5-4
413,Ciudad de Melilla,1404,1.22,45790027,32614,2009,3.5-4
414,Total,653736,1.13,24203313707,37023,2009,4-4.5
415,Andalucía,99613,1.11,3687496928,37018,2009,4-4.5
416,Aragón,20738,1.14,767643722,37016,2009,4-4.5
417,Principado de Asturias,16382,1.13,606460734,37020,2009,4-4.5
418,Illes Balears,14717,1.15,543935517,36960,2009,4-4.5
419,Canarias,27090,1.09,1002201114,36995,2009,4-4.5
420,Cantabria,9344,1.1,346460446,37078,2009,4-4.5
421,Castilla - La Mancha,25744,1.14,951549947,36962,2009,4-4.5
422,Castilla y León,37616,1.14,1393745237,37052,2009,4-4.5
423,Cataluña,135143,1.13,5002283946,37015,2009,4-4.5
424,Extremadura,11176,1.14,413448889,36994,2009,4-4.5
425,Galicia,34144,1.14,1265868047,37074,2009,4-4.5
426,Comunidad de Madrid,131839,1.12,4884654833,37050,2009,4-4.5
